date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2015-01-05,15.88,16.25,16.07,15.56,5135687.0,0.38,2.42,15.368,14.743,14.033,5036511.7,4952829.8,5451020.46,3.44
2015-01-06,16.0,16.68,16.13,15.82,5116845.5,0.06,0.37,15.64,14.947,14.163,5125914.6,5028270.15,5277038.94,3.43
2015-01-07,15.9,16.17,15.81,15.53,3857168.25,-0.32,-1.98,15.812,15.06,14.263,4646915.95,4730537.47,5117936.1,2.58
2015-01-08,15.87,15.88,15.25,15.2,3306271.75,-0.56,-3.54,15.79,15.174,14.393,4420859.2,4619585.85,4848652.79,2.22
2015-01-09,15.2,16.25,15.43,15.11,4919999.5,0.18,1.18,15.738,15.371,14.507,4467194.4,4694006.25,4784516.56,3.3
2015-01-12,15.5,15.71,15.22,14.95,3677872.75,-0.21,-1.36,15.568,15.468,14.615,4175631.55,4606071.63,4747124.6,2.46
2015-01-13,15.13,15.41,15.18,15.1,1784049.5,-0.04,-0.26,15.378,15.509,14.725,3509072.35,4317493.47,4681047.7,1.2
2015-01-14,15.31,15.79,15.49,15.31,3090188.5,0.31,2.04,15.314,15.563,14.862,3355676.4,4001296.18,4668044.41,2.07
2015-01-15,15.49,16.15,16.12,15.39,3298268.5,0.63,4.07,15.488,15.639,15.003,3354075.75,3887467.48,4613613.84,2.21
2015-01-16,16.24,16.75,16.47,16.16,4802459.0,0.35,2.17,15.696,15.717,15.121,3330567.65,3898881.03,4418884.99,3.22
2015-01-19,15.38,15.73,14.82,14.82,6235209.0,-1.65,-10.02,15.616,15.592,15.168,3842034.9,4008833.23,4480831.51,4.18
2015-01-20,14.88,15.17,15.0,14.58,4792157.5,0.18,1.22,15.58,15.479,15.213,4443656.5,3976364.43,4502317.29,3.21
2015-01-21,15.1,15.87,15.74,14.81,4875403.5,0.74,4.93,15.63,15.472,15.266,4800699.5,4078187.95,4404362.71,3.27
2015-01-22,15.73,15.76,15.63,15.35,2947382.5,-0.11,-0.7,15.532,15.51,15.342,4730522.3,4042299.03,4330942.44,1.98
2015-01-23,15.74,16.04,15.63,15.54,3200430.0,0.0,0.0,15.364,15.53,15.451,4410116.5,3870342.08,4282174.16,2.14
